index;barcode;title;author;isbn;complete_edition;date_of_publication;keep
170;EM000007698161;Repetitorium zum Steuerrecht 212 Fragen und Antworten mit Beispielen und Lösungen zum Bundessteuerrecht : (direkte Bundessteuer, Stempelabgaben, Verrechnungssteuer, Mehrwertsteuer);Amonn, Toni;9783258071244;3., aktualisierte und ergänzte Aufl.;2008;
171;EM000006330345;Repetitorium zum Steuerrecht 212 Fragen und Antworten mit Beispielen und Lösungen zum Bundessteuerrecht : (direkte Bundessteuer, Stempelabgaben, Verrechnungssteuer, Mehrwertsteuer);Amonn, Toni;9783258071244;3., aktualisierte und ergänzte Aufl.;2008;
172;EM000007057809;Repetitorium Steuerrecht Grundzüge des schweizerischen Steuerrechts mit Tafeln, Übungen und Lösungen;Stocker, Raoul;9783280072233;;2010;
173;EM000009415725;Die Steuergesetze des Bundes Edition Zürich (inkl. OECD-Musterabkommen) : Kompaktsammlung schweizerischer Bundessteuergesetze und der steuerrechtlichen Gesetzgebung des Kantons Zürich;Schweiz;9783906842677;Edition Zürich, Ausgabe 2022, 22. Auflage, aktueller Stand: 14.1.2022;2022;
174;EM000009415923;Die Steuergesetze des Bundes (inkl. OECD-Musterabkommen): Kompaktsammlung schweizerischer Bundessteuergesetze;Schweiz;9783906842660;Ausgabe 2022, 23. Auflage, aktueller Stand: 14. Januar 2022;2022;
175;EM000009228396;Schweizer Steuergesetze 2021 die Steuergesetze des Bundes und des Kantons Zürich mit über 100 Verwaltungsverordnungen und Querverweisen;Schweiz;9783906842578;12. Auflage, aktueller Stand: 1.2.2021;[2021];
176;EM000009004903;Schweizer Steuergesetze 2019 die Steuergesetze des Bundes und des Kantons Zürich mit über 100 Verwaltungsverordnungen und Querverweisen;Schweiz;9783906842356;10. Auflage, aktueller Stand: 15.1.2019;[2019];
177;EM000009226664;Schweizer Steuergesetze 2020 die Steuergesetze des Bundes und des Kantons Zürich mit über 100 Verwaltungsverordnungen und Querverweisen;Schweiz;9783906842462;11. Auflage, aktueller Stand: 4.2.2020;[2020];
178;EM000007202891;Schweizer Steuergesetze 2013 die Steuergesetze des Bundes und des Kantons Zürich mit über 100 Verwaltungsverordnungen und Querverweisen ...;Schweiz;9783905901726;[4. Auflage], aktueller Stand: 16.01.2013;[2013];
179;EM000008121377;Schweizer Steuergesetze 2014 die Steuergesetze des Bundes und des Kantons Zürich mit über 100 Verwaltungsverordnungen und Querverweisen;Schweiz;9783905901801;[5. Auflage], aktueller Stand: 16.1.2014;[2014];
